name_cancarTH_se,Key_symptoms_TH,Values_symptoms_TH
มะเร็งกระเพาะปัสสวะ,อ่อนเพลีย,['อ่อนเพลีย']
มะเร็งเยื่อบุโพรงมดลูก,เหนื่อยง่าย,"['เหนื่อยง่าย', 'เหนื่อย', 'เพลีย', 'เหนื่อยหอบ']"
มะเร็งปากมดลูก,คันเนื้อคันตัว,"['คันเนื้อคันตัว', 'คัน', 'คันตัว', 'คันตามตัว']"
มะเร็งเม็ดเลือดขาว,มีอาการร้อน,"['ร้อน', 'อาการรัอน', 'ตัวร้อน']"
มะเร็งตับ,อาการเจ็บปวด,"['เจ็บปวด', 'เจ็บ', 'อาการเจ็บปวด']"
มะเร็งตับอ่อน,อาการชา,"['อาการชา', 'ชา']"
มะเร็งต่อมลูกหมาก,เบื่ออาหาร,['เบื่ออาหาร']
มะเร็งกระเพาะปัสสาวะ,น้ำหนักลดโดยไม่ทราบสาเหตุ,"['น้ำหนักลดโดยไม่ทราบสาเหตุ', 'น้ำหนักลด', 'น้ำหนักลดลงเร็วมาก']"
มะเร็งกระเพาะอาหาร,ไข้เรื้อรัง,"['ไข้เรื้อรัง', 'ไข้', 'เป็นไข้']"
มะเร็งหลอดอาหาร,เหงื่อออกตอนกลางคืน,"['เหงื่อออกตอนกลางคืน', 'เหงื่อออกตอนดึก', 'เหงื่อออก']"
มะเร็งเต้านม,ปวดเมื่อย,"['ปวดเมื่อยตามร่างกาย', 'เมื่อย']"
มะเร็งปอด,บวมหรือต่อมน้ำเหลืองโต,"['บวมหรือต่อมน้ำเหลืองโต', 'ต่อมน้ำเหลืองโต', 'บวมน้ำเหลืองโต']"
มะเร็งลำไส้ใหญ่,ปวดท้อง,['ปวดท้อง']
มะเร็งรังไข่,เจ็บคอ,['เจ็บคอ']
มะเร็งช่องปาก,ปวดใต้รักแร้,"['ปวดใต้รักแร้', 'ปวดรักแร้']"
มะเร็งต่อมไทรอยด์,ปวดเอว,['ปวดเอว']
มะเร็งต่อมน้ำเหลือง,ผิวคล้ำผิดปกติ,['ผิวคล้ำ']
มะเร็งสมอง,เจ็บเต้านม,"['เจ็บเต้านม', 'เจ็บเต้า', 'เจ็บนม']"
มะเร็งผิวหนัง,ท้องอืด,"['ท้องอืด', 'อาการอืดท้อง', 'อืด']"
มะเร็งลำไส้,ท้องผูกเรื้อรัง,"['ท้องผูกเรื้อรัง', 'ท้องผูก']"
มะเร็งท่อน้ำดี,อาหารไม่ย่อย,['อาหารไม่ย่อย']
มะเร็งลำไส้ใหญ่และทวารหนัก,กลืนลำบาก,"['กลืนลำบาก', 'กลืนอาหารลำบาก', 'กลืนยาก']"
มะเร็งผิวหนังชนิดเมลาโนมา,ปวดท้องเรื้อรัง,['ปวดท้องเรื้อรัง']
มะเร็งต่อมน้ำเหลืองชนิดนอนฮอดจ์กิน,อาเจียนอาจมีเลือด,"['อาเจียนเป็นเลือด', 'อาเจียน', 'อ้วก']"
มะเร็งเม็ดเลือดขาวชนิดเฉียบพลัน,อุจจาระอาจมีเลือด,"['อุจจาระเป็นเลือด', 'อึเป็นเลือด', 'ขี้เป็นเลือด', 'อุจจาระ', 'ขี้', 'ถ่าย', 'ถ่ายเป็นเลือด']"
มะเร็งกระดูก,ไอเรื้อรัง,"['ไอเรื้อรัง', 'ไอ', 'ไอต่อเนื่อง', 'ไอแห้ง']"
มะเร็งสมองและระบบประสาทกลาง,ไอเป็นเลือด,['ไอเป็นเลือด']
มะเร็งไต,เสียงแหบ,['เสียงแหบ']
มะเร็งมดลูก,หายใจลำบาก,"['หายใจลำบาก', 'หายใจไม่อิ่ม', 'หายใจ']"
มะเร็งถุงน้ำดี,เจ็บหรือเเน่นหน้าอก,"['เจ็บหน้าอก', 'เเน่นหน้าอก']"
มะเร็งกระดูกสันหลัง,เลือดออกผิดปกติจากช่องคลอด,"['เลือดออกผิดปกติจากช่องคลอด', 'เลือดออกจากช่องคลอด', 'เลือดออกผิดปกติจากอวัยวะเพศ', 'เลือดออกจากอวัยวะเพศ', 'เลือดไหล']"
มะเร็งลูกตา,ตกขาวผิดปกติ,"['ตกขาวผิดปกติ', 'ตกขาว']"
มะเร็งเยื่อบุช่องคลอด,ปัสสาวะบ่อย,['ปัสสาวะบ่อย']
มะเร็งเยื่อบุอวัยวะเพศชาย,ปัสสาวะแสบขัด,"['ปัสสาวะแสบขัด', 'ฉี่แสบขัด']"
มะเร็งเยื่อบุอวัยวะเพศหญิง,ปัสสาวะเป็นเลือด,"['ปัสสาวะเป็นเลือด', 'ฉี่เป็นเลือด']"
