name,comments,count
dirkwoods,Wow. Sorry to hear about your bad news. I am a retired physician. I do not know the details of your case but I suspect that there was some miscommunication of some kind. Do not accept the nurse's assessment of your situation as the final word. If you have MyChart I would reach out to the Oncologist and ask about this in terms of possible miscommunication or possibly being confused about what the nurse said. You should also be given the chance to speak with the Radiation Oncologist as the expert on Friday at your appointment. I would place far more faith in what the Radiation Oncologist says. I had spinal lesions causing sciatica and had the start of motor weakness. I received radiation to the spine which reversed the pain and my motor strength has returned to normal. It seems to me if you have been told you might be paralyzed by this lesion that someone should have done a motor exam on you (formally tested your strength right now). As you are reaching out to the Oncologist and your PCP you might ask if anyone is concerned enough that you should have a motor exam or be placed on steroids awaiting the radiation (if both haven't already been done). In my case I was placed on high dose steroids awaiting the first radiation treatment. I suspect they might do the same for you. Good luck. This is part of what makes cancer so fun. Even as a physician I find the communication issues maddening.,1456
Aware-Locksmith-7313,Dirkwoods … Your observations are quite informative and make a great deal of sense. Best to you. … Maddening is the key word for OP’s situation with a nurse (an NP in action?) blathering about paralysis based only on on a scan.,237
puffedovenpancake,I just wanted to pop in and send some calming and healthy vibes. This is a big shock. I’m so sorry. I’m stage iv lung and it’s been a roller coaster. Do you have a palliative care doctor? Mine has been amazing helping me sort through medications and symptoms and feelings etc.,286
gemurmel,"I'm so sorry to hear this. For me, it was the other way round. CC spread to my spine and then to my lungs. But my spine is fine now. I get chemo+immunotherapy for my lungs. Have you talked to a neurosurgeon yet? They basically removed my T1 vertebrae, put some titanium plate in, then did 22 rounds of radiation and after that it was gone from my spine and still is. Don't listen to what an oncology nurse tells you, speak to the specialists whos job it is to treat cancer to the spine. Good luck!",521
beeboobum,"Stage 4 ovarian here. Please find a palliative care doctor asap- it was suggested to me from a fellow cancer survivor and I’m so glad I did. Once cancer has metastasized, it is typically a rollercoaster. In and out of remission. I’m currently in remission but I understand cancer is something i will be living with forever. Don’t be scared. You are alive and not paralyzed today and may never be paralyzed with prompt treatment. You can do this.",455
PenExactly,Inappropriate for a nurse to tell you that. Don’t panic. Talk to your oncologist. And report the nurse for giving such a dire prognosis.,148
Aware-Locksmith-7313,"Regret you’ve had such spread, and am wondering why concerning news like that is being delivered via phone by a nurse and not by your oncologist? Unacceptable.",170
Stickyduck468,Well that is a real kick in the teeth. So sorry for this difficult time.,82
Wyde1340,"I'm sorry to hear this, but here's some hope: I had cancer in many bones, but had radiation on the worse of them: hips, pelvis and femurs (I ended up breaking one femur in the middle of radiation, but the rest of the bone mets disappeared. Have hope!",261
BitsiBones,"I think I should clarify, in the UK cancer patients have a CNS (clinical nurse specialist) who is your personal oncology specialist nurse, she's not just a regular nurse. They're very specialised in your cancer and you're on a one-to-one basis with them they way you don't really get with your oncologist. Tbh I wouldn't have expected to get that news from anyone else, she's kind of your oncologist 2.0 so to speak.",426
skelterjohn,"That's really rough, sorry to hear about that outcome.",64
assisianinmomjeans,I have breast cancer metastasis to the spine. It’s been 9 years and I’m NED. Spinal mets are not always a paralyzer. I don’t know many people who have become paralyzed for spine mets.,193
Aware-Locksmith-7313,Yeah but OP’s nursey poo apparently thinks she knows all about how to read a scan and deliver dire news over the phone.,129
luckysevensampson,"I’m so sorry that you have to go through this. What I suspect the nurse said was “single fraction” rather than “ single section”. Each radiation dose is called a fraction, and they’re usually spaced apart in time so that the healthy cells have time to recover but the cancer cells don’t. Definitely see a radiation oncologist, and they can explain why it’s a single fraction. Best of luck with your treatment.",419
