,index,name_cancarTH,Key_symptoms_TH
0,0,ไม่สามารถระบุได้/ไม่มั่นใจว่าเป็น,คันเนื้อคันตัว
1,1,มะเร็งเต้านม,ตกขาวผิดปกติ
2,2,มะเร็งปอด,ท้องผูกเรื้อรัง
3,3,มะเร็งต่อมลูกหมาก,ท้องอืด
4,4,มะเร็งต่อมน้ำเหลือง,ปวดท้อง
5,5,มะเร็งตับ,ปวดศีรษะ
6,6,มะเร็งตับอ่อน,มีตุ่มหรือก้อนใต้ผิวหนัง
7,7,มะเร็งสมอง,ร้อน
8,8,มะเร็งเม็ดเลือดขาว,หายใจลำบาก
9,9,มะเร็งกระดูก,อัณฑะโตผิดปกติ
10,10,มะเร็งหลอดอาหาร,อาการชา
11,11,มะเร็งลำไส้ใหญ่,อาเจียนเป็นเลือด
12,12,มะเร็งท่อน้ำดี,อุจจาระเป็นเลือด
13,13,มะเร็งรังไข่,อ่อนเพลีย
14,14,มะเร็งลำไส้,เจ็บปวด
15,15,มะเร็งเยื่อบุโพรงมดลูก,เบื่ออาหาร
16,16,เล่ามากกว่า 2 โรค,เสียงแหบ
17,17,มะเร็งไต,เหนื่อยง่าย
18,18,มะเร็งผิวหนัง,แผลเรื้อรัง
19,19,มะเร็งกระเพาะอาหาร,ไข้เรื้อรัง
20,20,มะเร็งปากมดลูก,ไม่มีการระบุอาการ
21,21,มะเร็งกระเพาะปัสสาวะ,ไอเรื้อรัง
22,22,มะเร็งต่อมหมวกไต,
23,23,มะเร็งถุงน้ำดี,
24,24,มะเร็งกระดูกสันหลัง,
25,25,มะเร็งมดลูก,
26,26,มะเร็งช่องปาก,
27,27,มะเร็งต่อมไทรอยด์,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
