,name,comments,ยอดไลค์,จำนวนการตอบกลับ,จำนวนคำ
61,Supan Kamsangpong,ป่วยจะเป็น จะตาย มาหาหมอ รักษาหาย แต่ไปขอบคุณ สิ่งศักดิ์สิทธิ์ ไอ่สัส,60,1,20
37,Nongnuch Chanvijit,ขอเป็นกำลังใจให้คุณหมอทุกท่านนะคะ ขอบคุณที่คุณหมอทุกท่านเสียสละกันมากจริงๆค่ะ,59,0,17
8,Bird Sukanya Prue,พ่อเราก็โดนตัดขาเพราะเบาหวานเหมือนกัน  แต่มาคิดๆดูถ้าเราเชื่อหมอตั้งแต่โรงบาลแรกว่ายังไงก็ตัดขาทิ้งเชื้อมันลามมากแล้ว  แต่เราก็ดันทุรังรักษาขาพ่อที่ รพ.2 เกือบเดือน จนสุดท้ายก็ตัดขาพ่ออยู่ดี  ถ้าตัดตั้งแต่ รพ.1 พ่อเราก็ไม่ทรมานมาก แถมค่ารักษาก็ไม่หมดหล... ดูเพิ่มเติม,44,1,82
46,Piyaphorn Fern PhichaiKam,เวลาที่ต่างบริบทเปลี่ยนความรู้สึกเปลี่ยน... ดูเพิ่มเติม,29,0,11
115,โต๋ น๋อย,มีเรื่องจะเล่าค่ะ   แม่เป็นเบาหวาน ตั้งแต่ปี  2528  ลูกสาวคนเล็กได้ 3 ขวบ  ก็เป็นเบาหวานเลย  แม่ปฏิบัติตัวตามหมอสั่งทุกอย่าง  แต่ก็นะโรคเบาหวาน  เป็นนานๆ ก็มีโรคอื่นๆตามมา ตอนนี้แม่เหมามาหลายโรค... ดูเพิ่มเติม,29,1,60
82,Ying Thai,สงสัยคร่า ขอถามนิดนึงนะคะการที่เราจะทำการผ่าตัดเราจะต้องให้ผู้ป่วยรึญาติเซ็นยินยอมให้การรักษา ในกรณีสองเคสนี้ก็จะน่ามีการเซ็นยินยอมเรียบร้อยแล้ว แต่ทำไมญาติถึงจะมาฟ้องร้องเรียกค่าเสียหายได้ในเมื่อเรามีใบยินยอมชัดเจน,26,25,56
12,Chanon Panyangam,เท่าที่อ่านดูคิดว่าญาติและคนไข้เข้าใจเรื่องการรักษาดี แต่เป็นการร้องเรียนอย่างมีระบบเพื่อขอเงินชดเชย ผมคิดว่าเรื่องนี้น่าจะคนให้คำปรึกษาด้านการร้องเรียนแพทย์ ต่อให้เรื่องไม่ถึงศาลก็จะมีการจ่ายเงินให้คนไข้จำนวนนึงเพื่อจบเรื่องอยู่ดี,14,1,52
109,เจ๊ แป๊ด,ญาติเซ็นยินยอมผ่าตัดแล้วจะมาฟ้องได้ไง,11,0,10
52,Sakaorat Muangman,สักวัน บุคลากรจะหมดความอดทน และระบบก็จะเปลี่ยนไป วันนี้ใจดำกับบุคลากรให้มากๆก็ดีค่ะ เพราะถ้าระบบเปลี่ยนคนที่จะเสียใจคงไม่ใช่บุคลากร ขอเป็นกำลังใจให้บุคลากรทุกท่านค่ะ,10,0,41
53,Sarida Wee,ขอเป็นกำลังใจให้คุณหมอและบุคลากรสาธารณสุขทุกท่านค่ะ ขอบคุณค่ะ,8,0,13
95,นางฟ้า ร้ายกาจ แต่น่ารัก,อาชีพที่มีกรรมทำดีไม่ได้ดีเศร้าสลด..ระบบ... ดูเพิ่มเติม,6,0,14
